1333E "Road to 1600" "brute force,constructive algorithms" "Egor wants to achieve a rating of 1600 points on the well-known chess portal ChessForces and he needs your help!Before you start solving the problem, Egor wants to remind you how the chess pieces move. Chess rook moves along straight lines up and down, left and right, as many squares as it wants. And when it wants, it can stop. The queen walks in all directions vertically and diagonally at any distance. You can see the examples below.  To reach the goal, Egor should research the next topic:There is an N\xc3\x97N board. Each cell of the board has a number from 1 to N2 in it and numbers in all cells are distinct.In the beginning, some chess figure stands in the cell with the number 1. Note that this cell is already considered as visited. After that every move is determined by the following rules:   Among all not visited yet cells to which the figure can get in one move, it goes to the cell that has minimal number. If all accessible cells were already visited and some cells are not yet visited, then the figure is teleported to the not visited cell that has minimal number. If this step happens, the piece pays a fee of 1 vun. If all cells are already visited, the process is stopped. Egor should find an N\xc3\x97N board on which the rook pays strictly less vuns than the queen during the round with this numbering. Help him to find such N\xc3\x97N numbered board, or tell that it doesn\'t exist." 2400
1333D "Challenges in school \xe2\x84\x9641" "brute force,constructive algorithms,games,graphs,greedy,implementation,sortings" "There are nn children, who study at the school \xe2\x84\x9641. It is well-known that they are good mathematicians. Once at a break, they arranged a challenge for themselves. All children arranged in a row and turned heads either to the left or to the right.Children can do the following: in one second several pairs of neighboring children who are looking at each other can simultaneously turn the head in the opposite direction. For instance, the one who was looking at the right neighbor turns left and vice versa for the second child. Moreover, every second at least one pair of neighboring children performs such action. They are going to finish when there is no pair of neighboring children who are looking at each other. You are given the number nn, the initial arrangement of children and the number kk. You have to find a way for the children to act if they want to finish the process in exactly kk seconds. More formally, for each of the kk moves, you need to output the numbers of the children who turn left during this move.For instance, for the configuration shown below and k=2k=2 children can do the following steps:    At the beginning, two pairs make move: (1,2)(1,2) and (3,4)(3,4). After that, we receive the following configuration:    At the second move pair (2,3)(2,3) makes the move. The final configuration is reached. Good job.   It is guaranteed that if the solution exists, it takes not more than n2n2 ""headturns""." 2100
1333C "Eugene and an array" "binary search,data structures,implementation,two pointers" "Eugene likes working with arrays. And today he needs your help in solving one challenging task.An array c is a subarray of an array b if c can be obtained from b by deletion of several (possibly, zero or all) elements from the beginning and several (possibly, zero or all) elements from the end.Let\'s call a nonempty array good if for every nonempty subarray of this array, sum of the elements of this subarray is nonzero. For example, array [\xe2\x88\x921,2,\xe2\x88\x923] is good, as all arrays [\xe2\x88\x921], [\xe2\x88\x921,2], [\xe2\x88\x921,2,\xe2\x88\x923], [2], [2,\xe2\x88\x923], [\xe2\x88\x923] have nonzero sums of elements. However, array [\xe2\x88\x921,2,\xe2\x88\x921,\xe2\x88\x923] isn\'t good, as his subarray [\xe2\x88\x921,2,\xe2\x88\x921] has sum of elements equal to 0.Help Eugene to calculate the number of nonempty good subarrays of a given array a." 1700
1333B "Kind Anton" greedy,implementation "Once again, Boris needs the help of Anton in creating a task. This time Anton needs to solve the following problem:There are two arrays of integers a and b of length n. It turned out that array a contains only elements from the set {\xe2\x88\x921,0,1}.Anton can perform the following sequence of operations any number of times:  Choose any pair of indexes (i,j) such that 1\xe2\x89\xa4i<j\xe2\x89\xa4n. It is possible to choose the same pair (i,j) more than once.   Add ai to aj. In other words, j-th element of the array becomes equal to ai+aj. For example, if you are given array [1,\xe2\x88\x921,0], you can transform it only to [1,\xe2\x88\x921,\xe2\x88\x921], [1,0,0] and [1,\xe2\x88\x921,1] by one operation.Anton wants to predict if it is possible to apply some number (zero or more) of these operations to the array a so that it becomes equal to array b. Can you help him?" 1100
1333A "Little Artem" "constructive algorithms" "Young boy Artem tries to paint a picture, and he asks his mother Medina to help him. Medina is very busy, that\'s why she asked for your help.Artem wants to paint an n\xc3\x97m board. Each cell of the board should be colored in white or black. Lets B be the number of black cells that have at least one white neighbor adjacent by the side. Let W be the number of white cells that have at least one black neighbor adjacent by the side. A coloring is called good if B=W+1. The first coloring shown below has B=5 and W=4 (all cells have at least one neighbor with the opposite color). However, the second coloring is not good as it has B=4, W=4 (only the bottom right cell doesn\'t have a neighbor with the opposite color).  Please, help Medina to find any good coloring. It\'s guaranteed that under given constraints the solution always exists. If there are several solutions, output any of them." 1000
1332G "No Monotone Triples" "data structures" "Given a sequence of integers a of length n, a tuple (i,j,k) is called monotone triples if   1\xe2\x89\xa4i<j<k\xe2\x89\xa4n;  ai\xe2\x89\xa4aj\xe2\x89\xa4ak or ai\xe2\x89\xa5aj\xe2\x89\xa5ak is satisfied. For example, a=[5,3,4,5], then (2,3,4) is monotone triples for sequence a while (1,3,4) is not.Bob is given a sequence of integers a of length n in a math exam. The exams itself contains questions of form L,R, for each of them he is asked to find any subsequence b with size greater than 2 (i.e. |b|\xe2\x89\xa53) of sequence aL,aL+1,\xe2\x80\xa6,aR.Recall that an sequence b is a subsequence of sequence a if b can be obtained by deletion of several (possibly zero, or all) elements.However, he hates monotone stuff, and he wants to find a subsequence free from monotone triples. Besides, he wants to find one subsequence with the largest length among all subsequences free from monotone triples for every query.Please help Bob find out subsequences meeting the above constraints." 3100
1332F "Independent Set" "dfs and similar,dp,trees" "Eric is the teacher of graph theory class. Today, Eric teaches independent set and edge-induced subgraph.Given a graph G=(V,E), an independent set is a subset of vertices V\xe2\x80\xb2\xe2\x8a\x82V such that for every pair u,v\xe2\x88\x88V\xe2\x80\xb2, (u,v)\xe2\x88\x89E (i.e. no edge in E connects two vertices from V\xe2\x80\xb2).An edge-induced subgraph consists of a subset of edges E\xe2\x80\xb2\xe2\x8a\x82E and all the vertices in the original graph that are incident on at least one edge in the subgraph.Given E\xe2\x80\xb2\xe2\x8a\x82E, denote G[E\xe2\x80\xb2] the edge-induced subgraph such that E\xe2\x80\xb2 is the edge set of the subgraph. Here is an illustration of those definitions:  In order to help his students get familiar with those definitions, he leaves the following problem as an exercise:Given a tree G=(V,E), calculate the sum of w(H) over all except null edge-induced subgraph H of G, where w(H) is the number of independent sets in H. Formally, calculate \xe2\x88\x91\xe2\x88\x85\xe2\x89\xa0E\xe2\x80\xb2\xe2\x8a\x82Ew(G[E\xe2\x80\xb2]).Show Eric that you are smarter than his students by providing the correct answer as quickly as possible. Note that the answer might be large, you should output the answer modulo 998,244,353." 2500
1332E "Height All the Same" "combinatorics,constructive algorithms,math,matrices" "Alice has got addicted to a game called Sirtet recently.In Sirtet, player is given an n\xc3\x97m grid. Initially ai,j cubes are stacked up in the cell (i,j). Two cells are called adjacent if they share a side. Player can perform the following operations:   stack up one cube in two adjacent cells;  stack up two cubes in one cell. Cubes mentioned above are identical in height.Here is an illustration of the game. States on the right are obtained by performing one of the above operations on the state on the left, and grey cubes are added due to the operation.  Player\'s goal is to make the height of all cells the same (i.e. so that each cell has the same number of cubes in it) using above operations. Alice, however, has found out that on some starting grids she may never reach the goal no matter what strategy she uses. Thus, she is wondering the number of initial grids such that   L\xe2\x89\xa4ai,j\xe2\x89\xa4R for all 1\xe2\x89\xa4i\xe2\x89\xa4n, 1\xe2\x89\xa4j\xe2\x89\xa4m;  player can reach the goal using above operations. Please help Alice with it. Notice that the answer might be large, please output the desired value modulo 998,244,353." 2100
1332D "Walk on Matrix" "bitmasks,constructive algorithms,math" "Bob is playing a game named ""Walk on Matrix"".In this game, player is given an n\xc3\x97m matrix A=(ai,j), i.e. the element in the i-th row in the j-th column is ai,j. Initially, player is located at position (1,1) with score a1,1. To reach the goal, position (n,m), player can move right or down, i.e. move from (x,y) to (x,y+1) or (x+1,y), as long as player is still on the matrix.However, each move changes player\'s score to the bitwise AND of the current score and the value at the position he moves to.Bob can\'t wait to find out the maximum score he can get using the tool he recently learnt  \xe2\x80\x94 dynamic programming. Here is his algorithm for this problem.   However, he suddenly realize that the algorithm above fails to output the maximum score for some matrix A. Thus, for any given non-negative integer k, he wants to find out an n\xc3\x97m matrix A=(ai,j) such that   1\xe2\x89\xa4n,m\xe2\x89\xa4500 (as Bob hates large matrix);  0\xe2\x89\xa4ai,j\xe2\x89\xa43\xe2\x8b\x85105 for all 1\xe2\x89\xa4i\xe2\x89\xa4n,1\xe2\x89\xa4j\xe2\x89\xa4m (as Bob hates large numbers);  the difference between the maximum score he can get and the output of his algorithm is exactly k. It can be shown that for any given integer k such that 0\xe2\x89\xa4k\xe2\x89\xa4105, there exists a matrix satisfying the above constraints.Please help him with it!" 1700
1332C "K-Complete Word" "dfs and similar,dsu,greedy,implementation,strings" "Word s of length n is called k-complete if   s is a palindrome, i.e. si=sn+1\xe2\x88\x92i for all 1\xe2\x89\xa4i\xe2\x89\xa4n;  s has a period of k, i.e. si=sk+i for all 1\xe2\x89\xa4i\xe2\x89\xa4n\xe2\x88\x92k. For example, ""abaaba"" is a 3-complete word, while ""abccba"" is not.Bob is given a word s of length n consisting of only lowercase Latin letters and an integer k, such that n is divisible by k. He wants to convert s to any k-complete word.To do this Bob can choose some i (1\xe2\x89\xa4i\xe2\x89\xa4n) and replace the letter at position i with some other lowercase Latin letter.So now Bob wants to know the minimum number of letters he has to replace to convert s to any k-complete word.Note that Bob can do zero changes if the word s is already k-complete.You are required to answer t test cases independently." 1500
