2036G "Library of Magic" "binary search, constructive algorithms, divide and conquer, interactive, math, number theory" "This is an interactive problem.
The Department of Supernatural Phenomena at the Oxenfurt Academy has opened the Library of Magic, which contains the works of the greatest sorcerers of Redania \xe2\x80\x94 n (3\xe2\x89\xa4n\xe2\x89\xa41018) types of books, numbered from 1 to n. Each book\'s type number is indicated on its spine. Moreover, each type of book is stored in the library in exactly two copies! And you have been appointed as the librarian.
One night, you wake up to a strange noise and see a creature leaving the building through a window. Three thick tomes of different colors were sticking out of the mysterious thief\'s backpack. Before you start searching for them, you decide to compute the numbers a, b, and c written on the spines of these books. All three numbers are distinct.
So, you have an unordered set of tomes, which includes one tome with each of the pairwise distinct numbers a, b, and c, and two tomes for all numbers from 1 to n, except for a, b, and c. You want to find these values a, b, and c.
Since you are not working in a simple library, but in the Library of Magic, you can only use one spell in the form of a query to check the presence of books in their place: 
Since your magical abilities as a librarian are severely limited, you can make no more than 150 queries.
The first line of input contains an integer t (1\xe2\x89\xa4t\xe2\x89\xa4300) \xe2\x80\x94 the number of test cases.
The first line of each test case contains a single integer n (3\xe2\x89\xa4n\xe2\x89\xa41018) \xe2\x80\x94 the number of types of tomes.
The interaction for each test case begins with reading the integer n.
Then you can make up to 150 queries.
To make a query, output a string in the format ""xor l r"" (without quotes) (1\xe2\x89\xa4l\xe2\x89\xa4r\xe2\x89\xa4n). After each query, read an integer \xe2\x80\x94 the answer to your query.
To report the answer, output a string in the format ""ans a b c"" (without quotes), where a, b, and c are the numbers you found as the answer to the problem. You can output them in any order.
The interactor is not adaptive, which means that the answer is known before the participant makes queries and does not depend on the queries made by the participant.
After making 150 queries, the answer to any other query will be \xe2\x88\x921. Upon receiving such an answer, terminate the program to receive a verdict of ""WA"" (Wrong answer).
After outputting a query, do not forget to output a newline and flush the output buffer. Otherwise, you will receive a verdict of ""IL"" (Idleness limit exceeded). To flush the buffer, use: 
Hacks
To make a hack, use the following format.
The first line should contain a single integer t (1\xe2\x89\xa4t\xe2\x89\xa4300) \xe2\x80\x94 the number of test cases.
The only line of each test case should contain four integers n, a, b, and c (3\xe2\x89\xa4n\xe2\x89\xa41018, 1\xe2\x89\xa4a,b,c\xe2\x89\xa4n) \xe2\x80\x94 the number of books in the library and the numbers of the stolen tomes. The numbers a, b, and c must be distinct.
In the first test case, the books in the library after the theft look like this:

Now consider the answers to the queries: 
In the second test case, there are only 3 types of books, and it is easy to guess that the missing ones have the numbers 1, 2, and 3." "2200  x990"
    
2036F "XORificator 3000" "bitmasks, dp, number theory, two pointers" "Alice has been giving gifts to Bob for many years, and she knows that what he enjoys the most is performing bitwise XOR of interesting integers. Bob considers a positive integer x to be interesting if it satisfies x\xe2\x89\xa2k(mod2i). Therefore, this year for his birthday, she gifted him a super-powerful ""XORificator 3000"", the latest model.
