739E "Gosha is hunting" "brute force,data structures,dp,flows,math,probabilities,sortings" "Gosha is hunting. His goal is to catch as many Pokemons as possible. Gosha has a Poke Balls and b Ultra Balls. There are n Pokemons. They are numbered 1 through n. Gosha knows that if he throws a Poke Ball at the i-th Pokemon he catches it with probability pi. If he throws an Ultra Ball at the i-th Pokemon he catches it with probability ui. He can throw at most one Ball of each type at any Pokemon.The hunting proceeds as follows: at first, Gosha chooses no more than a Pokemons at which he will throw Poke Balls and no more than b Pokemons at which he will throw Ultra Balls. After that, he throws the chosen Balls at the chosen Pokemons. If he throws both Ultra Ball and Poke Ball at some Pokemon, he is caught if and only if he is caught by any of these Balls. The outcome of a throw doesn\'t depend on the other throws.Gosha would like to know what is the expected number of the Pokemons he catches if he acts in an optimal way. In other words, he would like to know the maximum possible expected number of Pokemons can catch." 3000

739D "Recover a functional graph" "graph matchings" "Functional graph is a directed graph in which all vertices have outdegree equal to 1. Loops are allowed.Some vertices of a functional graph lay on a cycle. From the others we can come to a cycle by making a finite number of steps along the edges (we consider only finite functional graphs in this problem).Let\'s compute two values for each vertex. precyclei is the amount of edges we should pass to get to a vertex which is a part of some cycle (zero, if i itself lies on a cycle), cyclei is the length of the cycle we get to.You are given the information about these values for some functional graph. For each vertex you know the values precyclei and cyclei, however, instead of some values there can be the question mark. It means that these values are unknown.Build any functional graph that suits the description or determine that there is no such graph." 3400

739C "Alyona and towers" "data structures" "Alyona has built n towers by putting small cubes some on the top of others. Each cube has size 1\xe2\x80\x89\xc3\x97\xe2\x80\x891\xe2\x80\x89\xc3\x97\xe2\x80\x891. A tower is a non-zero amount of cubes standing on the top of each other. The towers are next to each other, forming a row.Sometimes Alyona chooses some segment towers, and put on the top of each tower several cubes. Formally, Alyouna chooses some segment of towers from li to ri and adds di cubes on the top of them.Let the sequence a1,\xe2\x80\x89a2,\xe2\x80\x89...,\xe2\x80\x89an be the heights of the towers from left to right. Let\'s call as a segment of towers al,\xe2\x80\x89al\xe2\x80\x89+\xe2\x80\x891,\xe2\x80\x89...,\xe2\x80\x89ar a hill if the following condition holds: there is integer k (l\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89k\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89r) such that al\xe2\x80\x89<\xe2\x80\x89al\xe2\x80\x89+\xe2\x80\x891\xe2\x80\x89<\xe2\x80\x89al\xe2\x80\x89+\xe2\x80\x892\xe2\x80\x89<\xe2\x80\x89...\xe2\x80\x89<\xe2\x80\x89ak\xe2\x80\x89>\xe2\x80\x89ak\xe2\x80\x89+\xe2\x80\x891\xe2\x80\x89>\xe2\x80\x89ak\xe2\x80\x89+\xe2\x80\x892\xe2\x80\x89>\xe2\x80\x89...\xe2\x80\x89>\xe2\x80\x89ar.After each addition of di cubes on the top of the towers from li to ri, Alyona wants to know the maximum width among all hills. The width of a hill is the number of towers in it." 2500

739B "Alyona and a tree" "binary search,data structures,dfs and similar,graphs,trees" "Alyona has a tree with n vertices. The root of the tree is the vertex 1. In each vertex Alyona wrote an positive integer, in the vertex i she wrote ai. Moreover, the girl wrote a positive integer to every edge of the tree (possibly, different integers on different edges).Let\'s define dist(v,\xe2\x80\x89u) as the sum of the integers written on the edges of the simple path from v to u.The vertex v controls the vertex u (v\xe2\x80\x89\xe2\x89\xa0\xe2\x80\x89u) if and only if u is in the subtree of v and dist(v,\xe2\x80\x89u)\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89au.Alyona wants to settle in some vertex. In order to do this, she wants to know for each vertex v what is the number of vertices u such that v controls u." 1900

739A "Alyona and mex" "constructive algorithms,greedy" "Alyona\'s mother wants to present an array of n non-negative integers to Alyona. The array should be special. Alyona is a capricious girl so after she gets the array, she inspects m of its subarrays. Subarray is a set of some subsequent elements of the array. The i-th subarray is described with two integers li and ri, and its elements are a[li],\xe2\x80\x89a[li\xe2\x80\x89+\xe2\x80\x891],\xe2\x80\x89...,\xe2\x80\x89a[ri].Alyona is going to find mex for each of the chosen subarrays. Among these m mexes the girl is going to find the smallest. She wants this minimum mex to be as large as possible. You are to find an array a of n elements so that the minimum mex among those chosen by Alyona subarrays is as large as possible.The mex of a set S is a minimum possible non-negative integer that is not in S." 1700

