1873F "Money Trees" "binary search,greedy,math,two pointers" "Luca is in front of a row of n trees. The i-th tree has ai fruit and height hi.He wants to choose a contiguous subarray of the array [hl,hl+1,\xe2\x80\xa6,hr] such that for each i (l\xe2\x89\xa4i<r), hi is divisible\xe2\x80\xa0 by hi+1. He will collect all the fruit from each of the trees in the subarray (that is, he will collect al+al+1+\xe2\x8b\xaf+ar fruits). However, if he collects more than k fruits in total, he will get caught. What is the maximum length of a subarray Luca can choose so he doesn\'t get caught?\xe2\x80\xa0 x is divisible by y if the ratio xy is an integer." 1300
1873E "Building an Aquarium" "binary search,sortings" "You love fish, that\'s why you have decided to build an aquarium. You have a piece of coral made of nn columns, the ii-th of which is aiai units tall. Afterwards, you will build a tank around the coral as follows:   Pick an integer h\xe2\x89\xa51h\xe2\x89\xa51 \xe2\x80\x94 the height of the tank. Build walls of height hh on either side of the tank.  Then, fill the tank up with water so that the height of each column is hh, unless the coral is taller than hh; then no water should be added to this column.  For example, with a=[3,1,2,4,6,2,5]a=[3,1,2,4,6,2,5] and a height of h=4h=4, you will end up using a total of w=8w=8 units of water, as shown.    You can use at most xx units of water to fill up the tank, but you want to build the biggest tank possible. What is the largest value of hh you can select?" 1100
1873D "1D Eraser" "greedy,implementation,two pointers" "You are given a strip of paper s that is n cells long. Each cell is either black or white. In an operation you can take any k consecutive cells and make them all white.Find the minimum number of operations needed to remove all black cells." 800
1873C "Target Practice" implementation,math "A 10\xc3\x9710 target is made out of five ""rings"" as shown. Each ring has a different point value: the outermost ring \xe2\x80\x94 1 point, the next ring \xe2\x80\x94 2 points, ..., the center ring \xe2\x80\x94 5 points.  Vlad fired several arrows at the target. Help him determine how many points he got." 800
1873B "Good Kid" "brute force,greedy,math" "Slavic is preparing a present for a friend\'s birthday. He has an array a of n digits and the present will be the product of all these digits. Because Slavic is a good kid who wants to make the biggest product possible, he wants to add 1 to exactly one of his digits. What is the maximum product Slavic can make?" 800
1873A "Short Sort" "brute force,implementation" "There are three cards with letters a, b, c placed in a row in some order. You can do the following operation at most once:   Pick two cards, and swap them.  Is it possible that the row becomes abc after the operation? Output ""YES"" if it is possible, and ""NO"" otherwise." 800
1872G "Replace With Product" "brute force,greedy,math" "Given an array a of n positive integers. You need to perform the following operation exactly once: Choose 2 integers l and r (1\xe2\x89\xa4l\xe2\x89\xa4r\xe2\x89\xa4n) and replace the subarray a[l\xe2\x80\xa6r] with the single element: the product of all elements in the subarray (al\xe2\x8b\x85\xe2\x80\xa6\xe2\x8b\x85ar).For example, if an operation with parameters l=2,r=4 is applied to the array [5,4,3,2,1], the array will turn into [5,24,1].Your task is to maximize the sum of the array after applying this operation. Find the optimal subarray to apply this operation." 2000
1872F "Selling a Menagerie" "dfs and similar,dsu,graphs,implementation,math" "You are the owner of a menagerie consisting of n animals numbered from 1 to n. However, maintaining the menagerie is quite expensive, so you have decided to sell it!It is known that each animal is afraid of exactly one other animal. More precisely, animal i is afraid of animal ai (ai\xe2\x89\xa0i). Also, the cost of each animal is known, for animal i it is equal to ci.You will sell all your animals in some fixed order. Formally, you will need to choose some permutation\xe2\x80\xa0 p1,p2,\xe2\x80\xa6,pn, and sell animal p1 first, then animal p2, and so on, selling animal pn last.When you sell animal i, there are two possible outcomes: If animal ai was sold before animal i, you receive ci money for selling animal i. If animal ai was not sold before animal i, you receive 2\xe2\x8b\x85ci money for selling animal i. (Surprisingly, animals that are currently afraid are more valuable). Your task is to choose the order of selling the animals in order to maximize the total profit. For example, if a=[3,4,4,1,3], c=[3,4,5,6,7], and the permutation you choose is [4,2,5,1,3], then: The first animal to be sold is animal 4. Animal a4=1 was not sold before, so you receive 2\xe2\x8b\x85c4=12 money for selling it. The second animal to be sold is animal 2. Animal a2=4 was sold before, so you receive c2=4 money for selling it. The third animal to be sold is animal 5. Animal a5=3 was not sold before, so you receive 2\xe2\x8b\x85c5=14 money for selling it. The fourth animal to be sold is animal 1. Animal a1=3 was not sold before, so you receive 2\xe2\x8b\x85c1=6 money for selling it. The fifth animal to be sold is animal 3. Animal a3=4 was sold before, so you receive c3=5 money for selling it.Your total profit, with this choice of permutation, is 12+4+14+6+5=41. Note that 41 is not the maximum possible profit in this example.\xe2\x80\xa0 A permutation of length n is an array consisting of n distinct integers from 1 to n in any order. For example, [2,3,1,5,4] is a permutation, but [1,2,2] is not a permutation (2 appears twice in the array) and [1,3,4] is also not a permutation (n=3, but 4 is present in the array)." 1800
1872E "Data Structures Fan" "binary search,bitmasks,data structures,dp" "You are given an array of integers a1,a2,\xe2\x80\xa6,an, as well as a binary string\xe2\x80\xa0 s consisting of n characters.Augustin is a big fan of data structures. Therefore, he asked you to implement a data structure that can answer q queries. There are two types of queries: ""1 l r"" (1\xe2\x89\xa4l\xe2\x89\xa4r\xe2\x89\xa4n) \xe2\x80\x94 replace each character si for l\xe2\x89\xa4i\xe2\x89\xa4r with its opposite. That is, replace all 0 with 1 and all 1 with 0. ""2 g"" (g\xe2\x88\x88{0,1}) \xe2\x80\x94 calculate the value of the bitwise XOR of the numbers ai for all indices i such that si=g. Note that the XOR of an empty set of numbers is considered to be equal to 0.Please help Augustin to answer all the queries!For example, if n=4, a=[1,2,3,6], s=1001, consider the following series of queries: ""2 0"" \xe2\x80\x94 we are interested in the indices i for which si=0, since s=1001, these are the indices 2 and 3, so the answer to the query will be a2\xe2\x8a\x95a3=2\xe2\x8a\x953=1. ""1 1 3"" \xe2\x80\x94 we need to replace the characters s1,s2,s3 with their opposites, so before the query s=1001, and after the query: s=0111. ""2 1"" \xe2\x80\x94 we are interested in the indices i for which si=1, since s=0111, these are the indices 2, 3, and 4, so the answer to the query will be a2\xe2\x8a\x95a3\xe2\x8a\x95a4=2\xe2\x8a\x953\xe2\x8a\x956=7. ""1 2 4"" \xe2\x80\x94 s=0111 \xe2\x86\x92 s=0000. ""2 1"" \xe2\x80\x94 s=0000, there are no indices with si=1, so since the XOR of an empty set of numbers is considered to be equal to 0, the answer to this query is 0.\xe2\x80\xa0 A binary string is a string containing only characters 0 or 1." 1500
1872D "Plus Minus Permutation" math "You are given 3 integers \xe2\x80\x94 n, x, y. Let\'s call the score of a permutation\xe2\x80\xa0 p1,\xe2\x80\xa6,pn the following value:(p1\xe2\x8b\x85x+p2\xe2\x8b\x85x+\xe2\x80\xa6+p\xe2\x8c\x8anx\xe2\x8c\x8b\xe2\x8b\x85x)\xe2\x88\x92(p1\xe2\x8b\x85y+p2\xe2\x8b\x85y+\xe2\x80\xa6+p\xe2\x8c\x8any\xe2\x8c\x8b\xe2\x8b\x85y)In other words, the score of a permutation is the sum of pi for all indices i divisible by x, minus the sum of pi for all indices i divisible by y.You need to find the maximum possible score among all permutations of length n.For example, if n=7, x=2, y=3, the maximum score is achieved by the permutation [2,6_,1_,7_,5,4__,3] and is equal to (6+7+4)\xe2\x88\x92(1+4)=17\xe2\x88\x925=12.\xe2\x80\xa0 A permutation of length n is an array consisting of n distinct integers from 1 to n in any order. For example, [2,3,1,5,4] is a permutation, but [1,2,2] is not a permutation (the number 2 appears twice in the array) and [1,3,4] is also not a permutation (n=3, but the array contains 4)." 1200
1872C "Non-coprime Split" "math,number theory" "You are given two integers l\xe2\x89\xa4r. You need to find positive integers a and b such that the following conditions are simultaneously satisfied: l\xe2\x89\xa4a+b\xe2\x89\xa4r gcd(a,b)\xe2\x89\xa01or report that they do not exist.gcd(a,b) denotes the greatest common divisor of numbers a and b. For example, gcd(6,9)=3, gcd(8,9)=1, gcd(4,2)=2." 1100
1872B "The Corridor or There and Back Again" greedy,implementation "You are in a corridor that extends infinitely to the right, divided into square rooms. You start in room 1, proceed to room k, and then return to room 1. You can choose the value of k. Moving to an adjacent room takes 1 second.Additionally, there are n traps in the corridor: the i-th trap is located in room di and will be activated si seconds after you enter the room di. Once a trap is activated, you cannot enter or exit a room with that trap.  A schematic representation of a possible corridor and your path to room k and back. Determine the maximum value of k that allows you to travel from room 1 to room k and then return to room 1 safely.For instance, if n=1 and d1=2,s1=2, you can proceed to room k=2 and return safely (the trap will activate at the moment 1+s1=1+2=3, it can\'t prevent you to return back). But if you attempt to reach room k=3, the trap will activate at the moment 1+s1=1+2=3, preventing your return (you would attempt to enter room 2 on your way back at second 3, but the activated trap would block you). Any larger value for k is also not feasible. Thus, the answer is k=2." 900
1872A "Two Vessels" "brute force,greedy,math" "You have two vessels with water. The first vessel contains a grams of water, and the second vessel contains b grams of water. Both vessels are very large and can hold any amount of water.You also have an empty cup that can hold up to c grams of water.In one move, you can scoop up to c grams of water from any vessel and pour it into the other vessel. Note that the mass of water poured in one move does not have to be an integer.What is the minimum number of moves required to make the masses of water in the vessels equal? Note that you cannot perform any actions other than the described moves." 800
1870H "Standard Graph Problem" "data structures,graphs,greedy,trees" "You are given a weighted directed graph with n vertices and m edges. Each vertex in the graph can be either highlighted or normal. Initially, all vertices are normal. The cost of the graph is defined as the minimum sum of edge weights that need to be selected so that from each normal vertex one can reach at least one highlighted vertex using the selected edges only. If it is not possible to select the edges, the cost is \xe2\x88\x921 instead.Your task is to compute the cost of the graph after each of the q queries. The queries can be of two types:   +vi makes vertex vi highlighted; it is guaranteed that the vertex is normal before the query.  \xe2\x88\x92vi makes vertex vi normal; it is guaranteed that the vertex is highlighted before the query. Output the cost of the graph after each of the q queries." 3500
1870G MEXanization "data structures" "Let\'s define f(S). Let S be a multiset (i.e., it can contain repeated elements) of non-negative integers. In one operation, you can choose any non-empty subset of S (which can also contain repeated elements), remove this subset (all elements in it) from S, and add the MEX of the removed subset to S. You can perform any number of such operations. After all the operations, S should contain exactly 1 number. f(S) is the largest number that could remain in S after any sequence of operations.You are given an array of non-negative integers a of length n. For each of its n prefixes, calculate f(S) if S is the corresponding prefix (for the i-th prefix, S consists of the first i elements of array a).The MEX (minimum excluded) of an array is the smallest non-negative integer that does not belong to the array. For instance:   The MEX of [2,2,1] is 0, because 0 does not belong to the array.  The MEX of [3,1,0,1] is 2, because 0 and 1 belong to the array, but 2 does not.  The MEX of [0,3,1,2] is 4, because 0, 1, 2 and 3 belong to the array, but 4 does not." 3300
1870F "Lazy Numbers" "binary search,math" "You are given positive integers n and k. For each number from 1 to n, we write its representation in the number system with base k (without leading zeros) and then sort the resulting array in lexicographic order as strings. In the sorted array, we number the elements from 1 to n (i.e., indexing starts from 1). Find the number of values i such that the representation of number i is at the i-th position in the sorted array of representations.Examples of representations: 1 in any number system is equal to 1, 7 with k=3 is written as 21, and 81 with k=9 is written as 100." 2900
