1725H "Hot Black Hot White" "constructive algorithms,math" "One day, you are accepted as being Dr. Chanek\'s assistant. The first task given by Dr. Chanek to you is to take care and store his magical stones.Dr. Chanek has N magical stones with N being an even number. Those magical stones are numbered from 1 to N. Magical stone i has a strength of Ai. A magical stone can be painted with two colours, namely the colour black or the colour white. You are tasked to paint the magical stones with the colour black or white and store the magical stones into a magic box with a magic coefficient Z (0\xe2\x89\xa4Z\xe2\x89\xa42). The painting of the magical stones must be done in a way such that there are N2 black magical stones and N2 white magical stones.Define concat(x,y) for two integers x and y as the result of concatenating the digits of x to the left of y in their decimal representation without changing the order. As an example, concat(10,24) will result in 1024.For a magic box with a magic coefficient Z, magical stone i will react with magical stone j if the colours of both stones are different and concat(Ai,Aj)\xc3\x97concat(Aj,Ai)+Ai\xc3\x97Aj\xe2\x89\xa1Zmod3. A magical stone that is reacting will be very hot and dangerous. Because of that, you must colour the magical stones and determine the magic coefficient Z of the magic box in a way such that there is no magical stone that reacts, or report if it is impossible." 1800
1725G Garage "binary search,geometry,math" "Pak Chanek plans to build a garage. He wants the garage to consist of a square and a right triangle that are arranged like the following illustration.  Define a and b as the lengths of two of the sides in the right triangle as shown in the illustration. An integer x is suitable if and only if we can construct a garage with assigning positive integer values for the lengths a and b (a<b) so that the area of the square at the bottom is exactly x. As a good friend of Pak Chanek, you are asked to help him find the N-th smallest suitable number." 1500
1725F "Field Photography" "bitmasks,data structures,sortings" "Pak Chanek is traveling to Manado. It turns out that OSN (Indonesian National Scientific Olympiad) 2019 is being held. The contestants of OSN 2019 are currently lining up in a field to be photographed. The field is shaped like a grid of size N\xc3\x9710100 with N rows and 10100 columns. The rows are numbered from 1 to N from north to south, the columns are numbered from 1 to 10100 from west to east. The tile in row r and column c is denoted as (r,c).There are N provinces that participate in OSN 2019. Initially, each contestant who represents province i stands in tile (i,p) for each p satisfying Li\xe2\x89\xa4p\xe2\x89\xa4Ri. So, we can see that there are Ri\xe2\x88\x92Li+1 contestants who represent province i.Pak Chanek has a variable Z that is initially equal to 0. In one operation, Pak Chanek can choose a row i and a positive integer k. Then, Pak Chanek will do one of the two following possibilities:   Move all contestants in row i exactly k tiles to the west. In other words, a contestant who is in (i,p) is moved to (i,p\xe2\x88\x92k).  Move all contestants in row i exactly k tiles to the east. In other words, a contestant who is in (i,p) is moved to (i,p+k). After each operation, the value of Z will change into Z OR k, with OR being the bitwise OR operation. Note that Pak Chanek can do operations to the same row more than once. Also note that Pak Chanek is not allowed to move contestants out of the grid.There are Q questions. For the j-th question, you are given a positive integer Wj, Pak Chanek must do zero or more operations so that the final value of Z is exactly Wj. Define M as the biggest number such that after all operations, there is at least one column that contains exactly M contestants. For each question, you must find the biggest possible M for all sequences of operations that can be done by Pak Chanek. Note that the operations done by Pak Chanek for one question do not carry over to other questions." 2100
1725E "Electrical Efficiency" "combinatorics,data structures,dp,math,number theory,trees" "In the country of Dengkleknesia, there are N factories numbered from 1 to N. Factory i has an electrical coefficient of Ai. There are also N\xe2\x88\x921 power lines with the j-th power line connecting factory Uj and factory Vj. It can be guaranteed that each factory in Dengkleknesia is connected to all other factories in Dengkleknesia through one or more power lines. In other words, the collection of factories forms a tree. Each pair of different factories in Dengkleknesia can use one or more existing power lines to transfer electricity to each other. However, each power line needs to be turned on first so that electricity can pass through it.Define f(x,y,z) as the minimum number of power lines that need to be turned on so that factory x can make electrical transfers to factory y and factory z. Also define g(x,y,z) as the number of distinct prime factors of GCD(Ax,Ay,Az).To measure the electrical efficiency, you must find the sum of f(x,y,z)\xc3\x97g(x,y,z) for all combinations of (x,y,z) such that 1\xe2\x89\xa4x<y<z\xe2\x89\xa4N. Because the answer can be very large, you just need to output the answer modulo 998244353.Note: GCD(k1,k2,k3) is the greatest common divisor of k1, k2, and k3, which is the biggest integer that simultaneously divides k1, k2, and k3." 2500
1725D "Deducing Sortability" "binary search,bitmasks,math" "Let\'s say Pak Chanek has an array A consisting of N positive integers. Pak Chanek will do a number of operations. In each operation, Pak Chanek will do the following:   Choose an index p (1\xe2\x89\xa4p\xe2\x89\xa4N).  Let c be the number of operations that have been done on index p before this operation.  Decrease the value of Ap by 2c.  Multiply the value of Ap by 2. After each operation, all elements of A must be positive integers.An array A is said to be sortable if and only if Pak Chanek can do zero or more operations so that A1<A2<A3<A4<\xe2\x80\xa6<AN.Pak Chanek must find an array A that is sortable with length N such that A1+A2+A3+A4+\xe2\x80\xa6+AN is the minimum possible. If there are more than one possibilities, Pak Chanek must choose the array that is lexicographically minimum among them.Pak Chanek must solve the following things:   Pak Chanek must print the value of A1+A2+A3+A4+\xe2\x80\xa6+AN for that array.  Q questions will be given. For the i-th question, an integer Pi is given. Pak Chanek must print the value of APi. Help Pak Chanek solve the problem.Note: an array B of size N is said to be lexicographically smaller than an array C that is also of size N if and only if there exists an index i such that Bi<Ci and for each j<i, Bj=Cj." 2900
1725C "Circular Mirror" "binary search,combinatorics,geometry,math,two pointers" "Pak Chanek has a mirror in the shape of a circle. There are N lamps on the circumference numbered from 1 to N in clockwise order. The length of the arc from lamp i to lamp i+1 is Di for 1\xe2\x89\xa4i\xe2\x89\xa4N\xe2\x88\x921. Meanwhile, the length of the arc between lamp N and lamp 1 is DN.Pak Chanek wants to colour the lamps with M different colours. Each lamp can be coloured with one of the M colours. However, there cannot be three different lamps such that the colours of the three lamps are the same and the triangle made by considering the three lamps as vertices is a right triangle (triangle with one of its angles being exactly 90 degrees).The following are examples of lamp colouring configurations on the circular mirror. Figure 1. an example of an incorrect colouring because lamps 1, 2, and 3 form a right triangleFigure 2. an example of a correct colouringFigure 3. an example of a correct colouring Before colouring the lamps, Pak Chanek wants to know the number of distinct colouring configurations he can make. Count the number of distinct possible lamp colouring configurations, modulo 998244353." 2000
1725B "Basketball Together" "binary search,greedy,sortings" "A basketball competition is held where the number of players in a team does not have a maximum or minimum limit (not necessarily 5 players in one team for each match). There are N candidate players in the competition that will be trained by Pak Chanek, the best basketball coach on earth. The i-th candidate player has a power of Pi.Pak Chanek will form zero or more teams from the N candidate players on the condition that each candidate player may only join in at most one team. Each of Pak Chanek\'s teams will be sent to compete once with an enemy team that has a power of D. In each match, the team sent is said to defeat the enemy team if the sum of powers from the formed players is strictly greater than D.One of Pak Chanek\'s skills is that when a team that has been formed plays in a match, he can change the power of each player in the team to be equal to the biggest player power from the team.Determine the maximum number of wins that can be achieved by Pak Chanek." 1000
1725A "Accumulation of Dominoes" math "Pak Chanek has a grid that has N rows and M columns. Each row is numbered from 1 to N from top to bottom. Each column is numbered from 1 to M from left to right.Each tile in the grid contains a number. The numbers are arranged as follows:   Row 1 contains integers from 1 to M from left to right.  Row 2 contains integers from M+1 to 2\xc3\x97M from left to right.  Row 3 contains integers from 2\xc3\x97M+1 to 3\xc3\x97M from left to right.  And so on until row N. A domino is defined as two different tiles in the grid that touch by their sides. A domino is said to be tight if and only if the two numbers in the domino have a difference of exactly 1. Count the number of distinct tight dominoes in the grid.Two dominoes are said to be distinct if and only if there exists at least one tile that is in one domino, but not in the other." 800
1722G "Even-Odd XOR" "bitmasks,constructive algorithms,greedy" "Given an integer n, find any array a of n distinct nonnegative integers less than 231 such that the bitwise XOR of the elements on odd indices equals the bitwise XOR of the elements on even indices." 1500
1722F L-shapes "dfs and similar,implementation" "An L-shape is a figure on gridded paper that looks like the first four pictures below. An L-shape contains exactly three shaded cells (denoted by *), which can be rotated in any way.  You are given a rectangular grid. Determine if it contains L-shapes only, where L-shapes can\'t touch an edge or corner. More formally:   Each shaded cell in the grid is part of exactly one L-shape, and  no two L-shapes are adjacent by edge or corner. For example, the last two grids in the picture above do not satisfy the condition because the two L-shapes touch by corner and edge, respectively." 1700
1722E "Counting Rectangles" "brute force,data structures,dp,implementation" "You have n rectangles, the i-th rectangle has height hi and width wi.You are asked q queries of the form hs ws hb wb. For each query output, the total area of rectangles you own that can fit a rectangle of height hs and width ws while also fitting in a rectangle of height hb and width wb. In other words, print \xe2\x88\x91hi\xe2\x8b\x85wi for i such that hs<hi<hb and ws<wi<wb. Please note, that if two rectangles have the same height or the same width, then they cannot fit inside each other. Also note that you cannot rotate rectangles.Please note that the answer for some test cases won\'t fit into 32-bit integer type, so you should use at least 64-bit integer type in your programming language (like long long for C++)." 1600
1722D Line greedy,sortings "There are n people in a horizontal line, each looking either to the left or the right. Each person counts the number of people in the direction they are looking. The value of the line is the sum of each person\'s count.For example, in the arrangement LRRLL, where L stands for a person looking left and R stands for a person looking right, the counts for each person are [0,3,2,3,4], and the value is 0+3+2+3+4=12.You are given the initial arrangement of people in the line. For each k from 1 to n, determine the maximum value of the line if you can change the direction of at most k people." 1100
1722C "Word Game" "data structures,implementation" "Three guys play a game: first, each person writes down n distinct words of length 3. Then, they total up the number of points as follows:   if a word was written by one person \xe2\x80\x94 that person gets 3 points,  if a word was written by two people \xe2\x80\x94 each of the two gets 1 point,  if a word was written by all \xe2\x80\x94 nobody gets any points.  In the end, how many points does each player have?" 800
1722B Colourblindness implementation "Vasya has a grid with 2 rows and n columns. He colours each cell red, green, or blue.Vasya is colourblind and can\'t distinguish green from blue. Determine if Vasya will consider the two rows of the grid to be coloured the same." 800
1722A "Spell Check" implementation "Timur likes his name. As a spelling of his name, he allows any permutation of the letters of the name. For example, the following strings are valid spellings of his name: Timur, miurT, Trumi, mriTu. Note that the correct spelling must have uppercased T and lowercased other letters.Today he wrote string s of length n consisting only of uppercase or lowercase Latin letters. He asks you to check if s is the correct spelling of his name." 800
1721F "Matching Reduction" "brute force,constructive algorithms,dfs and similar,flows,graph matchings,graphs,interactive" "You are given a bipartite graph with n1 vertices in the first part, n2 vertices in the second part, and m edges. The maximum matching in this graph is the maximum possible (by size) subset of edges of this graph such that no vertex is incident to more than one chosen edge.You have to process two types of queries to this graph:  1 \xe2\x80\x94 remove the minimum possible number of vertices from this graph so that the size of the maximum matching gets reduced exactly by 1, and print the vertices that you have removed. Then, find any maximum matching in this graph and print the sum of indices of edges belonging to this matching;  2 \xe2\x80\x94 query of this type will be asked only after a query of type 1. As the answer to this query, you have to print the edges forming the maximum matching you have chosen in the previous query. Note that you should solve the problem in online mode. It means that you can\'t read the whole input at once. You can read each query only after writing the answer for the last query. Use functions fflush in C++ and BufferedWriter.flush in Java languages after each writing in your program." 2800
1721E "Prefix Function Queries" "dfs and similar,dp,hashing,string suffix structures,strings,trees" "You are given a string s, consisting of lowercase Latin letters.You are asked q queries about it: given another string t, consisting of lowercase Latin letters, perform the following steps:  concatenate s and t;  calculate the prefix function of the resulting string s+t;  print the values of the prefix function on positions |s|+1,|s|+2,\xe2\x80\xa6,|s|+|t| (|s| and |t| denote the lengths of strings s and t, respectively);  revert the string back to s. The prefix function of a string a is a sequence p1,p2,\xe2\x80\xa6,p|a|, where pi is the maximum value of k such that k<i and a[1..k]=a[i\xe2\x88\x92k+1..i] (a[l..r] denotes a contiguous substring of a string a from a position l to a position r, inclusive). In other words, it\'s the longest proper prefix of the string a[1..i] that is equal to its suffix of the same length." 2200
1721D "Maximum AND" "bitmasks,dfs and similar,divide and conquer,greedy,sortings" "You are given two arrays a and b, consisting of n integers each.Let\'s define a function f(a,b) as follows:   let\'s define an array c of size n, where ci=ai\xe2\x8a\x95bi (\xe2\x8a\x95 denotes bitwise XOR);  the value of the function is c1&c2&\xe2\x8b\xaf&cn (i.e. bitwise AND of the entire array c). Find the maximum value of the function f(a,b) if you can reorder the array b in an arbitrary way (leaving the initial order is also an option)." 1800
1721C "Min-Max Array Transformation" "binary search,greedy,two pointers" "You are given an array a1,a2,\xe2\x80\xa6,an, which is sorted in non-descending order. You decided to perform the following steps to create array b1,b2,\xe2\x80\xa6,bn:   Create an array d consisting of n arbitrary non-negative integers.  Set bi=ai+di for each bi.  Sort the array b in non-descending order. You are given the resulting array b. For each index i, calculate what is the minimum and maximum possible value of di you can choose in order to get the given array b.Note that the minimum (maximum) di-s are independent of each other, i. e. they can be obtained from different possible arrays d." 1400
1721B "Deadly Laser" implementation "The robot is placed in the top left corner of a grid, consisting of n rows and m columns, in a cell (1,1).In one step, it can move into a cell, adjacent by a side to the current one:   (x,y)\xe2\x86\x92(x,y+1);  (x,y)\xe2\x86\x92(x+1,y);  (x,y)\xe2\x86\x92(x,y\xe2\x88\x921);  (x,y)\xe2\x86\x92(x\xe2\x88\x921,y). The robot can\'t move outside the grid.The cell (sx,sy) contains a deadly laser. If the robot comes into some cell that has distance less than or equal to d to the laser, it gets evaporated. The distance between two cells (x1,y1) and (x2,y2) is |x1\xe2\x88\x92x2|+|y1\xe2\x88\x92y2|.Print the smallest number of steps that the robot can take to reach the cell (n,m) without getting evaporated or moving outside the grid. If it\'s not possible to reach the cell (n,m), print -1.The laser is neither in the starting cell, nor in the ending cell. The starting cell always has distance greater than d to the laser." 1000
