92105 Labyrinth-5 NA "See the problem statement here: http://codeforces.com/contest/921/problem/01." 3200
92104 Labyrinth-4 NA "See the problem statement here: http://codeforces.com/contest/921/problem/01." 3200
92103 Labyrinth-3 NA "See the problem statement here: http://codeforces.com/contest/921/problem/01." 3200
92102 Labyrinth-2 NA "See the problem statement here: http://codeforces.com/contest/921/problem/01." 3200
92101 Labyrinth-1 NA "You have a robot in a two-dimensional labyrinth which consists of N\xe2\x80\x89\xc3\x97\xe2\x80\x89M cells. Some pairs of cells adjacent by side are separated by a wall or a door. The labyrinth itself is separated from the outside with walls around it. Some labyrinth cells are the exits. In order to leave the labyrinth the robot should reach any exit. There are keys in some cells. Any key can open any door but after the door is opened the key stays in the lock. Thus every key can be used only once. There are no labyrinth cells that contain both a key and an exit. Also there can not be both a wall and a door between the pair of adjacent cells.Your need to write a program in abc language (see the language description below) that will lead the robot to one of the exits. Lets numerate the labyrinth rows from 0 to N\xe2\x80\x89-\xe2\x80\x891 top to bottom and the columns \xe2\x80\x93 from 0 to M\xe2\x80\x89-\xe2\x80\x891 left to right.In abc language the following primary commands are available:  move-DIR \xe2\x80\x93 move to the adjacent cell in the  direction. down increases the number of the row by 1, right increases the number of the column by 1. In case there\xe2\x80\x99s a wall or a closed door in this direction, nothing\xe2\x80\x99s happening.  open-DIR \xe2\x80\x93 open the door between the current cell and the adjacent one in DIR direction. In case there isn\xe2\x80\x99t any door in this direction or it\xe2\x80\x99s already been opened or the robot doesn\xe2\x80\x99t have a key, nothing\xe2\x80\x99s happening. take \xe2\x80\x93 take the key in the current cell. In case there isn\xe2\x80\x99t any key or the robot has already picked it up, nothing\xe2\x80\x99s happening. The robot is able to carry any number of keys. terminate \xe2\x80\x93 terminate the program. This command is not obligatory to use. In case it\xe2\x80\x99s absent the command is added at the end of the program automatically. Also, there are the following control commands in abc language:   for-N OPS end \xe2\x80\x93 repeat the sequence of the OPS commands N times, 0\xe2\x80\x89<\xe2\x80\x89N\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89100000. Each loop counter check counts as a command fulfilled by the robot.  if-ok  OPS1  else  OPS2  endif \xe2\x80\x93 carries out the sequence of the OPS1 commands, if the previous command of moving, taking the key or opening the door was successful, otherwise the sequence of the OPS2 commands is being carried out. Should there be no previous command run, the sequence OPS1 will be carried out. If-ok check counts as a command fulfilled by the robot.  break \xe2\x80\x93 stops the current for loop.  continue \xe2\x80\x93 finishes the current for loop iterations. Note that the control and the primary commands can be fit into each other arbitrarily.The robot will fulfill your commands sequentially until it exits the labyrinth, or it runs out of the commands, or the terminate command is run, or the quantity of the fulfilled commands exceeds the bound number 5\xc2\xb7106.In abc language each command is a separate word and should be separated from other commands with at least one space symbol.You should write a program that prints the sequence of commands leading the robot out of the labyrinth. Of course, as you are a good programmer, you should optimize these sequence.The number of the non-space symbols in the sequence should not exceed 107. If you succeed in finding the way out of the labyrinth i you\xe2\x80\x99ll be granted the number of points equal to:  where:   Wi \xe2\x80\x93 labyrinth\xe2\x80\x99s weight, some fixed constant.  Gi \xe2\x80\x93 number of robots moves.  Oi \xe2\x80\x93 number of fulfilled commands. Note that this number includes commands like take executed in the cells with no key, as well as opening commands applied to the already opened doors.  Li \xe2\x80\x93 sequence length in symbols, excluding space symbols and line breaks.  Q\xe2\x80\x89=\xe2\x80\x8910\xc2\xb7N\xc2\xb7M. In case your sequence doesn\xe2\x80\x99t lead the robot to the exit you\xe2\x80\x99ll be granted 0 points. Your programs result will be the sum of all Si. You should maximize this total sum.All labyrinths will be known and available to you. You can download the archive with labyrinths by any of the given links, password to extract files is aimtechiscool:  https://drive.google.com/file/d/1dkIBfW_Gy6c3FJtXjMXZPMsGKRyn3pzp  https://www.dropbox.com/s/77jrplnjgmviiwt/aimmaze.zip?dl=0  https://yadi.sk/d/JNXDLeH63RzaCi In order to make local testing of your programs more convenient, the program calculating your results (checker) and the labyrinth visualizer will be available. This program is written in python3 programming language, that\xe2\x80\x99s why you\xe2\x80\x99re going to need python3 interpreter, as well as pillow library, which you can install with the following command pip3 install pillow. pip3 is a utility program for python3 package (library) installation. It will be installed automatically with the python3 interpreter.Example command to run checker and visualizer: python3 aimmaze.py maze.in robot.abc --image maze.png. The checker can be run separately of visualization: python3 aimmaze.py maze.in robot.abc. Flag --output-log will let you see the information of robots each step: python3 aimmaze.py maze.in robot.abc --output-log. Note python3 can be installed as python on your computer.To adjust image settings, you can edit constants at the beginning of the program aimmaze.py." 3200
920G "List Of Integers" "binary search,bitmasks,brute force,combinatorics,math,number theory" "Let\'s denote as L(x,\xe2\x80\x89p) an infinite sequence of integers y such that gcd(p,\xe2\x80\x89y)\xe2\x80\x89=\xe2\x80\x891 and y\xe2\x80\x89>\xe2\x80\x89x (where gcd is the greatest common divisor of two integer numbers), sorted in ascending order. The elements of L(x,\xe2\x80\x89p) are 1-indexed; for example, 9, 13 and 15 are the first, the second and the third elements of L(7,\xe2\x80\x8922), respectively.You have to process t queries. Each query is denoted by three integers x, p and k, and the answer to this query is k-th element of L(x,\xe2\x80\x89p)." 2200
920F "SUM and REPLACE" "brute force,data structures,dsu,number theory" "Let D(x) be the number of positive divisors of a positive integer x. For example, D(2)\xe2\x80\x89=\xe2\x80\x892 (2 is divisible by 1 and 2), D(6)\xe2\x80\x89=\xe2\x80\x894 (6 is divisible by 1, 2, 3 and 6).You are given an array a of n integers. You have to process two types of queries:  REPLACE l r \xe2\x80\x94 for every  replace ai with D(ai);  SUM l r \xe2\x80\x94 calculate . Print the answer for each SUM query." 2000
920E "Connected Components?" "data structures,dfs and similar,dsu,graphs" "You are given an undirected graph consisting of n vertices and  edges. Instead of giving you the edges that exist in the graph, we give you m unordered pairs (x,\xe2\x80\x89y) such that there is no edge between x and y, and if some pair of vertices is not listed in the input, then there is an edge between these vertices.You have to find the number of connected components in the graph and the size of each component. A connected component is a set of vertices X such that for every two vertices from this set there exists at least one path in the graph connecting these vertices, but adding any other vertex to X violates this rule." 2100
920D Tanks dp,greedy,implementation "Petya sometimes has to water his field. To water the field, Petya needs a tank with exactly V ml of water.Petya has got N tanks, i-th of them initially containing ai ml of water. The tanks are really large, any of them can contain any amount of water (no matter how large this amount is).Also Petya has got a scoop that can contain up to K ml of water (initially the scoop is empty). This scoop can be used to get some water from some tank, and after that pour it all into some tank (it is impossible to get water from multiple tanks without pouring it, or leave some water in the scoop when pouring it). When Petya tries to get some water from a tank, he gets min(v,\xe2\x80\x89K) water, where v is the current volume of water in the tank.Is it possible to obtain a tank with exactly V ml of water using these operations? If it is possible, print a sequence of operations that allows to do it. If there are multiple ways to obtain needed amount of water in some tank, print any of them." 2400
920C "Swap Adjacent Elements" "dfs and similar,greedy,math,sortings,two pointers" "You have an array a consisting of n integers. Each integer from 1 to n appears exactly once in this array.For some indices i (1\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89i\xe2\x80\x89\xe2\x89\xa4\xe2\x80\x89n\xe2\x80\x89-\xe2\x80\x891) it is possible to swap i-th element with (i\xe2\x80\x89+\xe2\x80\x891)-th, for other indices it is not possible. You may perform any number of swapping operations any order. There is no limit on the number of times you swap i-th element with (i\xe2\x80\x89+\xe2\x80\x891)-th (if the position is not forbidden).Can you make this array sorted in ascending order performing some sequence of swapping operations?" 1400
