1525D Armchairs "dp,flows,graph matchings,greedy" "There are n armchairs, numbered from 1 to n from left to right. Some armchairs are occupied by people (at most one person per armchair), others are not. The number of occupied armchairs is not greater than n2.For some reason, you would like to tell people to move from their armchairs to some other ones. If the i-th armchair is occupied by someone and the j-th armchair is not, you can tell the person sitting in the i-th armchair to move to the j-th armchair. The time it takes a person to move from the i-th armchair to the j-th one is |i\xe2\x88\x92j| minutes. You may perform this operation any number of times, but these operations must be done sequentially, i.\xe2\x80\x89e. you cannot tell a person to move until the person you asked to move in the last operation has finished moving to their destination armchair.You want to achieve the following situation: every seat that was initially occupied must be free. What is the minimum time you need to do it?" 1800
1525C "Robot Collisions" "data structures,greedy,implementation,sortings" "There are n robots driving along an OX axis. There are also two walls: one is at coordinate 0 and one is at coordinate m.The i-th robot starts at an integer coordinate xi (0<xi<m) and moves either left (towards the 0) or right with the speed of 1 unit per second. No two robots start at the same coordinate.Whenever a robot reaches a wall, it turns around instantly and continues his ride in the opposite direction with the same speed.Whenever several robots meet at the same integer coordinate, they collide and explode into dust. Once a robot has exploded, it doesn\'t collide with any other robot. Note that if several robots meet at a non-integer coordinate, nothing happens.For each robot find out if it ever explodes and print the time of explosion if it happens and \xe2\x88\x921 otherwise." 2000
1525B "Permutation Sort" "constructive algorithms,greedy" "You are given a permutation a consisting of n numbers 1, 2, ..., n (a permutation is an array in which each element from 1 to n occurs exactly once).You can perform the following operation: choose some subarray (contiguous subsegment) of a and rearrange the elements in it in any way you want. But this operation cannot be applied to the whole array.For example, if a=[2,1,4,5,3] and we want to apply the operation to the subarray a[2,4] (the subarray containing all elements from the 2-nd to the 4-th), then after the operation, the array can become a=[2,5,1,4,3] or, for example, a=[2,1,5,4,3].Your task is to calculate the minimum number of operations described above to sort the permutation a in ascending order." 900
1525A Potion-making "math,number theory" "You have an initially empty cauldron, and you want to brew a potion in it. The potion consists of two ingredients: magic essence and water. The potion you want to brew should contain exactly k % magic essence and (100\xe2\x88\x92k) % water.In one step, you can pour either one liter of magic essence or one liter of water into the cauldron. What is the minimum number of steps to brew a potion? You don\'t care about the total volume of the potion, only about the ratio between magic essence and water in it.A small reminder: if you pour e liters of essence and w liters of water (e+w>0) into the cauldron, then it contains ee+w\xe2\x8b\x85100 % (without rounding) magic essence and we+w\xe2\x8b\x85100 % water." 800
1523H "Hopping Around the Array" "data structures,dp" "William really wants to get a pet. Since his childhood he dreamt about getting a pet grasshopper. William is being very responsible about choosing his pet, so he wants to set up a trial for the grasshopper!The trial takes place on an array a of length n, which defines lengths of hops for each of n cells. A grasshopper can hop around the sells according to the following rule: from a cell with index i it can jump to any cell with indices from i to i+ai inclusive.Let\'s call the k-grasshopper value of some array the smallest number of hops it would take a grasshopper to hop from the first cell to the last, but before starting you can select no more than k cells and remove them from the array. When a cell is removed all other cells are renumbered but the values of ai for each cell remains the same. During this the first and the last cells may not be removed.It is required to process q queries of the following format: you are given three numbers l, r, k. You are required to find the k-grasshopper value for an array, which is a subarray of the array a with elements from l to r inclusive." 3500
1523G "Try Booking" "data structures,divide and conquer" "William owns a flat in central London. He decided to rent his flat out for the next n days to earn some money.Since his flat is in the center of the city, he instantly got m offers in the form (li,ri), which means that someone wants to book the flat from day li until day ri inclusive. To avoid spending a lot of time figuring out whether it\'s profitable for him to accept an offer, William decided to develop an algorithm. The algorithm processes all offers as they arrive and will only accept offer i if the following two conditions are satisfied:  ri\xe2\x88\x92li+1\xe2\x89\xa5x.  None of the days between li and ri are occupied by a previously accepted offer  William isn\'t sure what value x should have and he asks you for help. For all x from 1 to n he wants you to calculate the total number of days for which the flat would be occupied if the corresponding value will be assigned to x." 3200
1523F "Favorite Game" bitmasks,dp "After William is done with work for the day, he enjoys playing his favorite video game.The game happens in a 2D world, starting at turn 00. William can pick any cell in the game world and spawn in it. Then, each turn, William may remain at his current location or move from the current location (x, y) to one of the following locations: (x + 1, y), (x - 1, y), (x, y + 1), (x, y - 1).To accelerate movement the game has nn fast travel towers. ii-th tower is located at location (xai,yaixai,yai). To be able to instantly travel to the tower from any location in the game world it must first be activated. Activation of tower ii happens at the moment when the player is in cell (xai,yaixai,yai) after this the tower remains active throughout the entire game.William also knows that the game has mm quests. ii-th quest can be completed instantly by being at location (xbi,ybixbi,ybi) on turn titi.William wants to find out the maximal number of quests he will be able to complete by optimally traversing the game world." 3300
1523E "Crypto Lights" combinatorics,dp,math,probabilities "To monitor cryptocurrency exchange rates trader William invented a wonderful device consisting of n lights arranged in a row. The device functions in the following way:Initially, all lights on William\'s device are turned off. At the beginning of a new iteration the device randomly, with a uniform distribution, picks a light that is turned off and turns it on, telling William which cryptocurrency he should invest in. After this iteration if any k consecutive lights contain more than one turned on light, then the device finishes working.William doesn\'t like uncertainty, so he wants you to calculate the expected value of the number of lights that are turned on in the device after it finishes working." 2600
1523D Love-Hate "bitmasks,brute force,dp,probabilities" "William is hosting a party for n of his trader friends. They started a discussion on various currencies they trade, but there\'s an issue: not all of his trader friends like every currency. They like some currencies, but not others.For each William\'s friend i it is known whether he likes currency j. There are m currencies in total. It is also known that a trader may not like more than p currencies.Because friends need to have some common topic for discussions they need to find the largest by cardinality (possibly empty) subset of currencies, such that there are at least \xe2\x8c\x88n2\xe2\x8c\x89 friends (rounded up) who like each currency in this subset." 2400
1523C "Compression and Expansion" "brute force,data structures,greedy,implementation,trees" "William is a huge fan of planning ahead. That is why he starts his morning routine by creating a nested list of upcoming errands.A valid nested list is any list which can be created from a list with one item ""1"" by applying some operations. Each operation inserts a new item into the list, on a new line, just after one of existing items a1.a2.a3.\xe2\x8b\xaf.ak and can be one of two types:   Add an item a1.a2.a3.\xe2\x8b\xaf.ak.1 (starting a list of a deeper level), or  Add an item a1.a2.a3.\xe2\x8b\xaf.(ak+1) (continuing the current level).  Operation can only be applied if the list does not contain two identical items afterwards. And also, if we consider every item as a sequence of numbers, then the sequence of items should always remain increasing in lexicographical order. Examples of valid and invalid lists that are shown in the picture can found in the ""Notes"" section.When William decided to save a Word document with the list of his errands he accidentally hit a completely different keyboard shortcut from the ""Ctrl-S"" he wanted to hit. It\'s not known exactly what shortcut he pressed but after triggering it all items in the list were replaced by a single number: the last number originally written in the item number.William wants you to help him restore a fitting original nested list." 1600
